Plant Type,Plant Desc,CH3 ID,CH3 Desc,Material Group Desc,PH2R,PH4,Year,Month,Units,LBS,Revenue
Metals,Chicago IL,28068,Customer 28068,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,01,15.31181486,2.691572473,15.28341657
Metals,Chicago IL,28068,Customer 28068,AL 1/4 Pt Cn 208x201,1 Paint,1/4 Pint Round,2020,01,3.354445798,0.355571255,3.096991474
Metals,Chicago IL,28068,Customer 28068,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,01,20.73690621,2.509165652,18.64603532
Metals,Chicago IL,28068,Customer 28068,EV 2 GaL O/H Tapered,4 Metal Pail,2 Gallon Pail,2020,01,1.132764921,2.165846529,7.882570037
Metals,Chicago IL,28068,Customer 28068,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,01,1.705237515,2.851157125,21.00153471
Metals,Chicago IL,28068,Customer 28068,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,6.957369062,3.200389769,6.095505481
Metals,Chicago IL,28068,Customer 28068,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,22.23224421,55.4016078
Metals,Chicago IL,28068,Customer 28068,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,8.960535932,28.97510962
Metals,Chicago IL,28068,Customer 28068,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.661768575,3.202941535
Metals,Chicago IL,28068,Customer 28068,ND Ears / Bails,1 Paint,Ears,2020,01,0,1.076735688,2.628501827
Metals,Chicago IL,28068,Customer 28068,QL Pail Cover 8 1/2,4 Metal Pail,Cover,2020,01,0,0.543970767,1.230968331
Metals,Chicago IL,28068,Customer 28068,QL Pail Cover 8 1/2,4 Metal Pail,CVR Large Pail,2020,01,0,1.087941535,2.522095006
Metals,Chicago IL,28068,Customer 28068,Armloks,7 M.Other,Other,2020,01,0,0,17.44700365
Metals,Chicago IL,28122,Customer 28122,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,01,0.545676005,0.154971985,0.738544458
Metals,Chicago IL,28122,Customer 28122,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,01,0.679049939,1.865350183,4.117691839
Metals,Chicago IL,28122,Customer 28122,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,1.651644336,6.80598782,7.655408039
Metals,Chicago IL,28122,Customer 28122,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,01,1.233861145,2.063015834,19.55262485
Metals,Chicago IL,28122,Customer 28122,GE 5 Gal C/H Strait,4 Metal Pail,5 Gallon Pail,2020,01,1.520097442,7.229583435,17.18477467
Metals,Chicago IL,28122,Customer 28122,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,1.271619976,4.597344702
Metals,Chicago IL,28122,Customer 28122,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.945383678,4.985261876
Metals,Chicago IL,28122,Customer 28122,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,1.32691352,1.352789281
Metals,Chicago IL,28122,Customer 28122,Pail Fittings-Metal,7 M.Other,Other,2020,01,0,0,0
